,Email Address,Section,First Name,Last Name,Hw_1,Hw_1 - Max Points,Hw_2,Hw_2 - Max Points,Hw_3,Hw_3 - Max Points,Hw_4,Hw_4 - Max Points,Hw_5,Hw_5 - Max Points,Hw_6,Hw_6 - Max Points,Hw_7,Hw_7 - Max Points,Hw_8,Hw_8 - Max Points,Hw_9,Hw_9 - Max Points,Hw_10,Hw_10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 1,Quiz 2,Quiz 3,Quiz 4,Quiz 5,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ara97741,amy.adams@univ.edu,1,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,9,11,12,8,10,0.87,0.74,0.76,0.7297297297297297,0.741376984126984,0.741376984126984,0.7246376811594203,0.7324318818436466,0.7324318818436466,0.7477803582038876,75.0,C
cxa22039,christina.allen@univ.edu,1,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,10,12,14,14,8,0.6,0.7,0.67,0.8324324324324325,0.8304246031746032,0.8324324324324325,0.8405797101449275,0.8398573975044563,0.8405797101449275,0.7856468860164513,79.0,C
lxb98047,lucas.baldwin@univ.edu,1,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,7,10,9,12,11,0.83,0.74,0.97,0.8567567567567568,0.8462301587301587,0.8567567567567568,0.7101449275362319,0.7212503183091419,0.7212503183091419,0.8200777981954454,83.0,B
wxb12345,woody.barrera_jr@univ.edu,1,Woody,Barrera,55.0,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100,4,10,11,7,10,0.86,0.62,0.9,0.8081081081081081,0.799404761904762,0.8081081081081081,0.6086956521739131,0.6021390374331551,0.6086956521739131,0.7458519388954172,75.0,C
jxb40799,john.bauer@univ.edu,1,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,4,7,13,9,8,0.64,0.88,0.92,0.8432432432432433,0.8376507936507936,0.8432432432432433,0.5942028985507246,0.5809065444359562,0.5942028985507246,0.7735581668625147,78.0,C
djb29817,david.beck@univ.edu,1,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,4,7,7,12,7,0.91,0.74,0.65,0.7283783783783784,0.7377579365079365,0.7377579365079365,0.5362318840579711,0.5365087853323148,0.5365087853323148,0.6730558102028691,68.0,D
rjb91830,richard.bennett@univ.edu,1,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,10,6,9,8,10,0.66,0.97,0.88,0.8297297297297297,0.8275079365079365,0.8297297297297297,0.6231884057971014,0.6486529157117393,0.6486529157117393,0.7884877666054138,79.0,C
cxd92501,cameron.dennis@univ.edu,1,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,4,6,13,5,4,0.88,0.66,0.68,0.7810810810810811,0.7869087301587301,0.7869087301587301,0.463768115942029,0.4437636872930991,0.463768115942029,0.6658939268461008,67.0,D
eed42850,emily.dudley@univ.edu,1,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,5,9,8,9,9,0.96,0.73,0.76,0.8054054054054054,0.7975436507936509,0.8054054054054054,0.5797101449275363,0.5835981665393429,0.5835981665393429,0.7322416121239651,74.0,C
exd72538,erin.duffy@univ.edu,1,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,9,12,14,5,10,0.85,0.92,0.88,0.7324324324324324,0.7404365079365081,0.7404365079365081,0.7246376811594203,0.7264374840845429,0.7264374840845429,0.780605848399966,79.0,C
